dataset,n,d,contam,WAND_auc,WAND_ap,WAND_secs
breastw,683,9,0.34992679355783307,0.991678917411135,0.9837112162321883,0.6206614389957394
glass,214,7,0.04205607476635514,0.7913279132791328,0.11488050892437865,0.12663966498803347
Hepatitis,80,19,0.1625,0.8036739380022963,0.49729809875509284,0.07086973999685142
Ionosphere,351,32,0.358974358974359,0.8683597883597883,0.8115518613678271,0.29863329901127145
Lymphography,148,18,0.04054054054054054,0.9988262910798122,0.976190476190476,0.11425771198992152
Pima,768,8,0.3489583333333333,0.6819626865671643,0.5102779599433123,0.6147129899909487
Stamps,340,9,0.09117647058823529,0.9028082263284267,0.335137405852039,0.24293423800554592
vertebral,240,6,0.125,0.2633333333333333,0.08288422934992512,0.12850749200151768
WBC,223,9,0.04484304932735426,0.9929577464788732,0.9003588516746411,0.1470825389988022
WDBC,367,30,0.027247956403269755,0.9801120448179272,0.4545750572956455,0.2507872860005591
wine,129,13,0.07751937984496124,0.9731092436974791,0.6104220779220779,0.06539498800702859
WPBC,198,33,0.23737373737373738,0.5523460617162181,0.2484827600272769,0.10510418099875096
annthyroid,7200,6,0.07416666666666667,0.7811508678957783,0.32537857203687426,8.019351549010025
cardio,1831,21,0.0961223375204806,0.9139625102993683,0.5791962544271125,1.5442733950039838
Cardiotocography,2114,21,0.22043519394512773,0.653360556689862,0.4032125827262203,1.9010225820093183
fault,1941,27,0.3467284904688305,0.4730537027575571,0.3988905612311825,1.947223829003633
landsat,6435,36,0.20714840714840715,0.578643974988259,0.2409243051356032,5.514923021997674
letter,1600,32,0.0625,0.6111466666666666,0.11509024759511419,1.3059656620025635
PageBlocks,5393,10,0.09456703133691823,0.9059714977533098,0.4921139244271449,5.518141540989745
pendigits,6870,16,0.022707423580786028,0.9227026572871075,0.15861920076812913,6.345431877998635
satellite,6435,36,0.3163947163947164,0.7833996027852375,0.762171955290671,6.019974238995928
satimage-2,5803,36,0.0122350508357746,0.993665411871087,0.9572737017777266,5.256647465008427
thyroid,3772,6,0.024655355249204668,0.9819346655092693,0.6292022960582175,3.8997517349926056
vowels,1456,12,0.034340659340659344,0.8829302987197724,0.4719259882731211,1.1267253250116482
Waveform,3443,21,0.02904443799012489,0.52160933293449,0.03417457686135462,3.046678697995958
Wilt,4819,5,0.05333056650757419,0.4147986155297441,0.041224008031540076,5.0140108990017325
yeast,1484,8,0.341644204851752,0.40636008874730234,0.29495724386749667,1.4002619130042149
ALOI,49534,27,0.030443735615940565,0.5440775766243329,0.035612962273418744,6.383767079008976
celeba,202599,39,0.022443348683853327,0.8000431720906206,0.1425718530387973,9.991237723996164
cover,286048,10,0.009603283365029646,0.8485316832924895,0.033909837609373945,11.958870438989834
donors,619326,10,0.05927411411760527,0.9144336090432303,0.26460584425756994,21.195281619991874
fraud,284807,29,0.001727485630620034,0.9289128884729221,0.024436916040883667,12.36452128199744
http,567498,3,0.003896048972859816,0.9937375838906667,0.3672574643225465,19.637871270999312
magic.gamma,19020,10,0.3516298633017876,0.6778135824912663,0.5952932928773315,4.98218585900031
mammography,11183,6,0.023249575248144506,0.8901986985823843,0.33586250685672386,5.250005209993105
shuttle,49097,9,0.0715114976475141,0.9944058336977868,0.8634434056872816,6.21377285500057
skin,245057,3,0.20753947040892526,0.8922844540465347,0.4921583160960622,10.101354969010572
smtp,95156,3,0.0003152717642607928,0.9558638016945945,0.03698796284194848,7.518446791000315
backdoor,95329,193,0.02443118043827167,0.8620615844171433,0.47596259252573714,9.050026971992338
campaign,41188,62,0.11265417111780131,0.7119666408228384,0.2955335644225417,5.894521630005329
census,299285,500,0.062041198189017155,0.6874540490660865,0.09470727745380922,23.912171285992372
InternetAds,1966,1555,0.1871820956256358,0.6407261794634598,0.37654810904298586,5.1396797799970955
mnist,7603,78,0.09206892016309351,0.8555487262266923,0.40335231753712736,9.093741685006535
musk,3062,166,0.03167864141084259,1.0,0.9999999999999998,2.9379597259976435
optdigits,5216,62,0.028757668711656442,0.5025358599815766,0.026079337754940875,5.352385796999442
SpamBase,4207,57,0.39909674352270025,0.5392648200782564,0.40542279832478634,4.997054410996498
speech,3686,400,0.016549104720564298,0.4483301300169587,0.015594098927993922,5.00236616100301
