dataset,n,d,contam,IForest_auc,IForest_ap,IForest_secs,PCA_auc,PCA_ap,PCA_secs,INNE_auc,INNE_ap,INNE_secs,LSCP_auc,LSCP_ap,LSCP_secs
breastw,683,9,0.34992679355783307,0.987306,0.971069,0.087500,0.955558,0.954803,0.004723,0.685448,0.430092,0.172073,nan,nan,nan
glass,214,7,0.04205607476635514,0.798374,0.211537,0.080926,0.653659,0.099212,0.001534,0.808130,0.150772,0.134708,0.800000,0.115891,0.558652
Hepatitis,80,19,0.1625,0.735936,0.272464,0.080248,0.752009,0.346908,0.004353,0.633754,0.214799,0.122132,0.774971,0.323856,0.243936
Ionosphere,351,32,0.358974358974359,0.837002,0.788127,0.086228,0.784127,0.731230,0.002567,0.892416,0.885287,0.183596,0.811570,0.716319,1.115662
Lymphography,148,18,0.04054054054054054,1.000000,1.000000,0.078603,0.996479,0.930556,0.001616,0.985915,0.746429,0.132574,0.994131,0.855556,0.401762
Pima,768,8,0.3489583333333333,0.660321,0.489579,0.088168,0.648410,0.478053,0.001519,0.682817,0.485605,0.210052,0.640567,0.443953,2.380358
Stamps,340,9,0.09117647058823529,0.886731,0.299640,0.085528,0.906880,0.348561,0.001679,0.846017,0.270700,0.157599,0.822424,0.276431,1.163510
vertebral,240,6,0.125,0.391429,0.098771,0.154508,0.377302,0.096538,0.001581,0.397460,0.100973,0.279915,0.346032,0.091642,1.215929
WBC,223,9,0.04484304932735426,0.994836,0.947619,0.122241,0.993427,0.924343,0.001522,0.944601,0.439643,0.156428,0.973709,0.472677,0.820333
WDBC,367,30,0.027247956403269755,0.983193,0.525180,0.081815,0.985994,0.556099,0.001903,0.975910,0.395970,0.151971,0.989916,0.672359,1.563977
wine,129,13,0.07751937984496124,0.774790,0.176438,0.092641,0.805882,0.250123,0.001627,0.810924,0.183798,0.128862,0.910084,0.327682,0.467227
WPBC,198,33,0.23737373737373738,0.477948,0.222903,0.080919,0.482457,0.227144,0.002134,0.495843,0.225853,0.157016,0.531633,0.236756,0.575807
annthyroid,7200,6,0.07416666666666667,0.811624,0.309231,0.165517,0.673469,0.191563,0.002977,0.694073,0.211232,0.591224,nan,nan,nan
cardio,1831,21,0.0961223375204806,0.932931,0.553291,0.154654,0.950038,0.610221,0.011881,0.906133,0.408514,0.443265,0.687304,0.224377,12.225147
Cardiotocography,2114,21,0.22043519394512773,0.660022,0.406814,0.110959,0.752345,0.474868,0.003917,0.662703,0.388836,0.254922,0.554009,0.303104,11.550314
fault,1941,27,0.3467284904688305,0.560141,0.404956,0.106903,nan,nan,nan,0.575605,0.443510,0.258600,0.569252,0.399533,10.835221
landsat,6435,36,0.20714840714840715,0.441516,0.182736,0.213671,0.364380,0.162961,0.018399,0.543380,0.220585,1.379726,0.564682,0.246179,56.186159
letter,1600,32,0.0625,0.643040,0.091983,0.182759,0.524933,0.077081,0.005091,0.702653,0.190795,0.353541,0.856653,0.347394,10.378685
PageBlocks,5393,10,0.09456703133691823,0.903102,0.494463,0.190120,0.904970,0.511571,0.004833,0.941556,0.614594,0.689721,0.816074,0.391093,30.724892
pendigits,6870,16,0.022707423580786028,0.955565,0.267149,0.285835,0.935711,0.222590,0.008210,0.892021,0.136725,0.942433,0.711497,0.068362,42.992355
satellite,6435,36,0.3163947163947164,0.670530,0.633803,0.243674,0.601156,0.605718,0.017370,0.743043,0.623208,2.144798,0.638538,0.458560,51.787715
satimage-2,5803,36,0.0122350508357746,0.991606,0.912945,0.244547,0.977180,0.872216,0.018797,0.997938,0.900987,2.203831,0.860160,0.138928,48.742137
thyroid,3772,6,0.024655355249204668,0.974879,0.467841,0.170776,0.955978,0.358539,0.002944,0.972107,0.418981,0.554391,0.787793,0.132419,17.896015
vowels,1456,12,0.034340659340659344,0.775576,0.172918,0.240370,0.609815,0.067050,0.003307,0.895036,0.332161,0.333231,0.917027,0.305174,7.535102
Waveform,3443,21,0.02904443799012489,0.720458,0.055056,0.248204,0.639518,0.044889,0.006079,0.757628,0.105830,0.513781,0.741914,0.077883,23.092594
Wilt,4819,5,0.05333056650757419,0.425200,0.042003,0.155871,0.434282,0.042732,0.002569,0.362085,0.037859,0.655690,0.581187,0.060784,18.779912
yeast,1484,8,0.341644204851752,0.392703,0.305610,0.134803,0.395610,0.294773,0.001956,0.397701,0.298857,0.271842,0.430328,0.316181,6.346046
ALOI,49534,27,0.030443735615940565,0.537740,0.033132,0.566744,0.548454,0.037003,0.088398,0.558252,0.037930,9.869171,nan,nan,nan
celeba,202599,39,0.022443348683853327,0.677452,0.052550,4.657987,0.784035,0.111626,0.793878,0.748191,0.053886,54.781849,nan,nan,nan
cover,286048,10,0.009603283365029646,0.877849,0.050047,3.156810,0.933781,0.072354,0.146665,0.954777,0.129390,51.971691,nan,nan,nan
donors,619326,10,0.05927411411760527,0.765270,0.116728,9.618175,0.823789,0.167470,0.422707,0.740905,0.110878,109.387023,nan,nan,nan
fraud,284807,29,0.001727485630620034,0.953151,0.151400,3.934832,0.952589,0.148141,0.678369,0.953977,0.102427,59.131760,nan,nan,nan
http,567498,3,0.003896048972859816,0.998717,0.740362,7.106692,0.996030,0.476324,0.118883,0.995696,0.467062,93.565367,nan,nan,nan
magic.gamma,19020,10,0.3516298633017876,0.700870,0.620570,0.389377,0.666599,0.591639,0.009615,0.735490,0.670745,2.522267,nan,nan,nan
mammography,11183,6,0.023249575248144506,0.864434,0.220668,0.255554,0.893843,0.200534,0.004471,0.830802,0.210800,1.092252,0.738386,0.071031,46.833145
shuttle,49097,9,0.0715114976475141,0.997522,0.981844,0.784560,0.989870,0.915451,0.021492,0.991340,0.826000,9.657764,nan,nan,nan
skin,245057,3,0.20753947040892526,0.669141,0.253324,2.231944,0.417050,0.163758,0.049034,0.652783,0.250187,38.179674,nan,nan,nan
smtp,95156,3,0.0003152717642607928,0.900017,0.003980,1.350060,0.807711,0.358112,0.019146,0.916914,0.430882,15.980756,nan,nan,nan
backdoor,95329,193,0.02443118043827167,0.705468,0.039623,1.329940,nan,nan,nan,0.906771,0.613311,49.787448,nan,nan,nan
campaign,41188,62,0.11265417111780131,0.703648,0.284731,0.815618,nan,nan,nan,0.730556,0.253900,11.280022,nan,nan,nan
census,299285,500,0.062041198189017155,0.613334,0.073280,4.747542,nan,nan,nan,0.661053,0.086205,294.122633,nan,nan,nan
InternetAds,1966,1555,0.1871820956256358,0.691160,0.507056,0.152455,0.614660,0.295619,37.308733,0.607952,0.260648,5.581444,nan,nan,nan
mnist,7603,78,0.09206892016309351,0.804795,0.288116,0.285913,0.849878,0.382848,0.104096,0.864313,0.408932,3.248189,0.650410,0.182579,201.326049
musk,3062,166,0.03167864141084259,1.000000,1.000000,0.175355,0.999993,0.999789,0.152254,1.000000,1.000000,2.672246,0.930224,0.418111,86.389917
optdigits,5216,62,0.028757668711656442,0.745010,0.054142,0.209855,0.514891,0.026849,0.034703,0.604686,0.032956,2.027798,0.565315,0.038067,87.611789
SpamBase,4207,57,0.39909674352270025,0.637457,0.485542,0.146478,0.550262,0.409728,0.025548,0.543941,0.406448,1.391352,0.572331,0.435776,50.482131
speech,3686,400,0.016549104720564298,0.452029,0.016724,0.190576,0.469174,0.018426,1.709495,0.490017,0.023228,4.070120,nan,nan,nan
